slug,language,image_source,colliding_query,repeat_count,affected_headings,cause
busan-beach-guide-en,en,본문 섹션(###) 이미지 캐러셀,Busan beach ocean,8,Haeundae Beach | Gwangalli Beach | Songjeong Beach | Dadaepo Beach | Ilgwang Beach | Getting Between Beaches | Haeundae Seafood Market | Best Seasons to Visit Busan Beaches,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bali-surfing-guide-en,en,본문 섹션(###) 이미지 캐러셀,Bali beach ocean,7,A Thriving Surf School Industry | Kuta Beach | Legian Beach | Seminyak Beach | Balangan Beach | Recommended Surf Schools by Area | Surf Etiquette: The Unwritten Rules,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
taipei-shopping-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Taipei shopping market,7,타이베이 쇼핑의 특징 | 쇼핑 전 알아두면 좋은 기본 정보 | 시먼딩의 주요 쇼핑 포인트 | 코스메틱·드럭스토어 쇼핑 | 타이베이 101 쇼핑몰 | 스린 야시장(士林夜市) | 라오허제 야시장(饒河街觀光夜市),itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
tokyo-shopping-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Tokyo shopping market,6,지역별 쇼핑 특성 한눈에 보기 | 쇼핑 전 알아두면 좋은 팁 | 전자기기 쇼핑 | 애니메이션·굿즈 쇼핑 | 세븐일레븐·로손·패밀리마트 쇼핑 | 짐 보내기와 쇼핑백 관리,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
da-nang-beach-guide-en,en,본문 섹션(###) 이미지 캐러셀,Da Nang beach ocean,6,My Khe Beach | Non Nuoc Beach | Bac My An Beach | Son Tra Peninsula Beaches | Luxury Beachfront Resorts | Water Sports and Active Beach Activities,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
chiang-mai-temples-guide-en,en,본문 섹션(###) 이미지 캐러셀,Chiang Mai temple shrine,6,Wat Phra Singh — The Grand Temple of the Old Town | Doi Suthep — The Sacred Mountain Temple Above the City | Wat Suan Dok — The Temple of the Flower Garden | Dress Code and Temple Etiquette | Wat Umong — The Forest Tunnel Temple | Wat Chiang Man — The Oldest Temple in the City,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
taipei-night-market-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Taipei shopping market,6,야시장의 역사와 문화적 의미 | 야시장 방문 최적 시간 | 스린 야시장 (士林夜市) | 라오허제 야시장 (饒河街觀光夜市) | 닝샤 야시장 (寧夏夜市) | 기념품 & 패션 아이템 쇼핑,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
paris-cafe-restaurant-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Paris cafe coffee,5,파리 카페의 에티켓 | 마레 지구 (3~4구) – 트렌디한 카페 밀집 지역 | 생제르맹 데 프레 (6구) – 파리 카페 문화의 발상지 | 아침 식사 : 크루아상과 카페 오 레 | 파리 카페 투어 코스 추천 동선,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bali-best-beaches-en,en,본문 섹션(###) 이미지 캐러셀,Bali beach ocean,5,Nusa Dua Beach | Padang Padang Beach | Balangan Beach | Seminyak Beach | Amed Beach,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
phuket-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Phuket beach ocean,5,Patong Beach | Kata Beach and Kata Noi Beach | Karon Beach | Kamala Beach | Surin Beach and Bang Tao Beach,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
okinawa-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Okinawa beach ocean,5,"Manza Beach | Furuzamami Beach, Zamami Island | Aharen Beach, Tokashiki Island | Yonaha Maehama Beach | Sunayama Beach",itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
