city,language,slug_a,slug_b,title_a,title_b,content_word_overlap_pct,title_word_overlap_pct,heading_overlap_pct,confidence,len_a,len_b,updated_a,updated_b,recommend_keep,recommend_drop,already_known
Amsterdam,en,amsterdam-travel-guide-en,amsterdam-complete-guide-en,Amsterdam Travel Guide: Best Things to Do for First-Time Visitors,Amsterdam Travel Guide: Top Attractions & Travel Tips,36.1,21.4,41.0,HIGH,14420,16603,2026-05-22T03:01:33.496789+00:00,2026-06-05T12:32:25.038292+00:00,amsterdam-complete-guide-en,amsterdam-travel-guide-en,ALREADY_REDIRECTED
Da Nang,en,da-nang-beach-guide-en,da-nang-travel-guide-en,Da Nang Beach Travel Guide: Best Beaches & Tips,Da Nang Travel Guide: Best Things to Do for First-Time Visitors,33.7,33.3,44.2,HIGH,14665,14954,2026-05-31T10:13:10.678538+00:00,2026-05-26T07:08:35.991275+00:00,da-nang-travel-guide-en,da-nang-beach-guide-en,NEW
Phuket,en,phuket-travel-guide-en,phuket-beach-guide-en,Phuket Beach Guide: Best Beaches and Things to Do for First-Time Visitors,Phuket Beach Travel Guide: Best Beaches & Tips,33.6,33.3,44.0,HIGH,13814,14267,2026-05-26T07:07:06.810627+00:00,2026-06-01T19:42:48.47289+00:00,phuket-beach-guide-en,phuket-travel-guide-en,NEW
Sydney,en,sydney-travel-guide-en,sydney-complete-guide-en,Sydney Travel Guide: Best Things to Do for First-Time Visitors,Sydney Travel Guide: Top Attractions & Tips for 2024,32.9,26.7,34.2,HIGH,13535,16429,2026-05-26T07:56:53.528052+00:00,2026-06-06T09:45:23.839005+00:00,sydney-complete-guide-en,sydney-travel-guide-en,ALREADY_REDIRECTED
Ho Chi Minh City,en,ho-chi-minh-city-travel-tips-en,ho-chi-minh-city-travel-guide-en,Ho Chi Minh City Travel Tips for International Visitors,Ho Chi Minh City Travel Guide: Best Things to Do for First-Time Visitors,32.6,43.8,34.0,HIGH,16188,13983,2026-05-31T10:16:30.024169+00:00,2026-05-26T07:11:30.200148+00:00,ho-chi-minh-city-travel-tips-en,ho-chi-minh-city-travel-guide-en,NEW
Los Angeles,en,los-angeles-travel-guide-en,los-angeles-complete-guide-en,Los Angeles Travel Guide: Best Things to Do for First-Time Visitors,Los Angeles Travel Guide: Top Things to See & Do,32.4,50.0,33.3,HIGH,14797,15237,2026-05-26T07:59:37.187561+00:00,2026-06-06T09:43:28.691062+00:00,los-angeles-complete-guide-en,los-angeles-travel-guide-en,ALREADY_REDIRECTED
Bali,en,bali-travel-guide-en,bali-best-beaches-en,Bali Travel Guide: Best Things to Do for First-Time Visitors,Best Beaches in Bali: Ultimate Guide for Travelers,28.7,26.7,40.5,HIGH,14351,13555,2026-05-22T02:53:19.860232+00:00,2026-05-29T12:47:06.399423+00:00,bali-travel-guide-en,bali-best-beaches-en,NEW
Sapporo,en,sapporo-travel-guide-en,sapporo-winter-guide-en,Sapporo Travel Guide: Best Things to Do for First-Time Visitors,Sapporo Winter Travel Guide: Best Things to Do & See,28.4,53.8,31.0,HIGH,15358,13625,2026-05-26T07:00:02.365749+00:00,2026-05-29T12:44:06.587299+00:00,sapporo-travel-guide-en,sapporo-winter-guide-en,NEW
Tokyo,en,tokyo-shinjuku-guide-en,tokyo-shibuya-guide-en,Tokyo Shinjuku Travel Guide: Top Things to Do & See,Tokyo Shibuya Things to Do: The Ultimate Travel Guide,27.4,50.0,34.0,HIGH,15345,16385,2026-05-27T04:29:53.783106+00:00,2026-05-27T04:31:38.064353+00:00,tokyo-shibuya-guide-en,tokyo-shinjuku-guide-en,NEW
싱가포르,ko,singapore-complete-travel-guide,singapore-travel-guide-culture-food-attractions,싱가포르 완벽 여행 가이드: 도심 속 다채로운 문화와 미식의 천국,싱가포르 완벽 여행 가이드: 다채로운 문화와 미식의 도시를 탐험하다,21.3,63.6,52.4,낮음(같은도시·다른지역 가능성),2977,2947,2026-05-12T09:20:36.245764+00:00,2026-05-12T08:56:15.593013+00:00,singapore-complete-travel-guide,singapore-travel-guide-culture-food-attractions,NEW
세부,ko,cebu-complete-guide-ko,cebu-philippines-travel-guide-for-koreans-2024,세부 여행 완벽 가이드: 필리핀 대표 휴양지 핵심 정보,세부 여행 완벽 가이드 2024 - 한국인이 꼭 알아야 할 핵심 정보,17.9,50.0,45.0,낮음(같은도시·다른지역 가능성),2960,4752,2026-06-02T17:58:53.319062+00:00,2026-05-22T04:34:29.502433+00:00,cebu-philippines-travel-guide-for-koreans-2024,cebu-complete-guide-ko,ALREADY_REDIRECTED
타이베이,ko,taipei-night-market-guide-ko,taipei-best-restaurants-ko,타이베이 야시장 완벽 가이드: 꼭 가야 할 필수 야시장 총정리,타이베이 맛집 완벽 가이드 – 현지인도 즐겨 찾는 필수 식당 총정리,13.4,41.7,33.3,낮음(같은도시·다른지역 가능성),3144,3034,2026-06-05T12:28:11.651274+00:00,2026-06-05T12:29:53.782849+00:00,taipei-night-market-guide-ko,taipei-best-restaurants-ko,NEW
도쿄,ko,tokyo-shinjuku-guide-ko,tokyo-shibuya-guide-ko,도쿄 신주쿠 여행 완벽 가이드: 쇼핑·맛집·관광 총정리,도쿄 시부야 여행 완벽 가이드 – 볼거리·맛집·쇼핑 총정리,13.1,63.6,50.0,낮음(같은도시·다른지역 가능성),2729,2623,2026-05-27T04:25:54.117046+00:00,2026-05-27T04:27:00.82296+00:00,tokyo-shinjuku-guide-ko,tokyo-shibuya-guide-ko,NEW
서울,ko,seoul-hongdae-guide-ko,seoul-insadong-guide-ko,"서울 홍대 여행 완벽 가이드: 핫플레이스, 맛집, 쇼핑 총정리",서울 인사동 완벽 여행 가이드 – 전통과 현대가 공존하는 골목 탐방,12.2,26.7,40.9,낮음(같은도시·다른지역 가능성),2514,3056,2026-06-07T10:22:51.501139+00:00,2026-06-07T10:24:26.615966+00:00,seoul-insadong-guide-ko,seoul-hongdae-guide-ko,NEW
도쿄,ko,tokyo-shinjuku-guide-ko,tokyo-asakusa-guide-ko,도쿄 신주쿠 여행 완벽 가이드: 쇼핑·맛집·관광 총정리,도쿄 아사쿠사 여행 완벽 가이드 | 센소지부터 나카미세까지,11.6,33.3,45.5,낮음(같은도시·다른지역 가능성),2729,3030,2026-05-27T04:25:54.117046+00:00,2026-05-27T04:28:12.933977+00:00,tokyo-asakusa-guide-ko,tokyo-shinjuku-guide-ko,NEW
도쿄,ko,tokyo-shibuya-guide-ko,tokyo-asakusa-guide-ko,도쿄 시부야 여행 완벽 가이드 – 볼거리·맛집·쇼핑 총정리,도쿄 아사쿠사 여행 완벽 가이드 | 센소지부터 나카미세까지,9.7,33.3,30.4,낮음(같은도시·다른지역 가능성),2623,3030,2026-05-27T04:27:00.82296+00:00,2026-05-27T04:28:12.933977+00:00,tokyo-asakusa-guide-ko,tokyo-shibuya-guide-ko,NEW
