slug,reason
da-nang-travel-guide-en,중복 병합 후 생존 — 여전히 상투적 템플릿 구조 (Why Visit/Best Things/Practical Tips/Final Thoughts)
phuket-beach-guide-en,중복 병합 후 생존 — 여전히 상투적 템플릿 구조 (Why Visit/Best Things/Practical Tips/Final Thoughts)
ho-chi-minh-city-travel-tips-en,중복 병합 후 생존 — 여전히 상투적 템플릿 구조 (Why Visit/Best Things/Practical Tips/Final Thoughts)
sapporo-travel-guide-en,병합은 비권장(실제 다른 주제)이나 동일 템플릿 골격 — 구조 다양화 권장
sapporo-winter-guide-en,병합은 비권장(실제 다른 주제)이나 동일 템플릿 골격 — 구조 다양화 권장
bali-travel-guide-en,병합은 비권장(실제 다른 주제)이나 동일 템플릿 골격 — 구조 다양화 권장
bali-best-beaches-en,병합은 비권장(실제 다른 주제)이나 동일 템플릿 골격 — 구조 다양화 권장
tokyo-shinjuku-guide-en,병합은 비권장(실제 다른 주제)이나 동일 템플릿 골격 — 구조 다양화 권장
tokyo-shibuya-guide-en,병합은 비권장(실제 다른 주제)이나 동일 템플릿 골격 — 구조 다양화 권장
shanghai-travel-guide-en,사이트 전역 템플릿 패턴 일치 (Why Visit X/Itinerary/Food/Eat/Getting To/Around/Practical Tips/Final Thoughts)
beijing-travel-guide-en,사이트 전역 템플릿 패턴 일치 (Why Visit X/Best Things To Do/Itinerary/Food/Eat/Getting To/Around/Practical Tips/Where To Stay/Final Thoughts)
nagoya-travel-guide-en,사이트 전역 템플릿 패턴 일치 (Why Visit X/Best Things To Do/Food/Eat/Itinerary/Getting To/Around/Practical Tips)
fukuoka-travel-guide-en,사이트 전역 템플릿 패턴 일치 (Why Visit X/Food/Eat/Itinerary/Getting To/Around/Final Thoughts)
istanbul-travel-guide-en,사이트 전역 템플릿 패턴 일치 (Itinerary/Food/Eat/Practical Tips/Final Thoughts)
seoul-budget-travel-en,사이트 전역 템플릿 패턴 일치 (Getting To/Around/Food/Eat/Where To Stay/Final Thoughts)
madrid-travel-guide-en,사이트 전역 템플릿 패턴 일치 (Itinerary/Food/Eat/Getting To/Around/Practical Tips/Final Thoughts)
busan-beach-guide-en,사이트 전역 템플릿 패턴 일치 (Getting To/Around/Food/Eat/Practical Tips/Day Trips/Where To Stay/Final Thoughts)
berlin-travel-guide-en,사이트 전역 템플릿 패턴 일치 (Best Things To Do/Itinerary/Food/Eat/Practical Tips)
zurich-travel-guide-en,사이트 전역 템플릿 패턴 일치 (Why Visit X/Best Things To Do/Itinerary/Food/Eat/Getting To/Around/Practical Tips/Final Thoughts)
